seq,is_true,is_ignore,path,x0,x1,y0,y1,col
0,False,False,../data/crops/crop0.png,251,211,517,432,r
0,False,False,../data/crops/crop11345.png,424,384,432,347,r
0,False,False,../data/crops/crop11346.png,579,539,453,368,r
0,False,False,../data/crops/crop11347.png,1266,1226,462,377,r
0,False,False,../data/crops/crop11348.png,1444,1404,496,411,r
0,False,False,../data/crops/crop11349.png,1016,976,369,284,g
0,False,False,../data/crops/crop11350.png,1268,1228,396,311,g
0,False,False,../data/crops/crop11351.png,838,798,415,330,g
0,False,False,../data/crops/crop11352.png,64,24,445,360,g
0,False,False,../data/crops/crop11353.png,1805,1765,443,358,g
0,False,False,../data/crops/crop11354.png,356,316,525,440,g
0,False,False,../data/crops/crop11355.png,680,640,577,492,g
0,False,False,../data/crops/crop11356.png,888,848,582,497,g
0,False,False,../data/crops/crop11357.png,140,100,416,331,g
0,False,False,../data/crops/crop11358.png,281,241,438,353,g
0,False,False,../data/crops/crop11359.png,1416,1376,490,405,r
0,False,False,../data/crops/crop11360.png,1477,1437,495,410,r
0,False,False,../data/crops/crop11361.png,1547,1507,494,409,r
0,False,False,../data/crops/crop11362.png,1956,1916,143,58,g
0,False,False,../data/crops/crop11363.png,1798,1758,166,81,g
0,False,False,../data/crops/crop11364.png,1759,1719,229,144,g
0,False,False,../data/crops/crop11365.png,1516,1476,228,143,g
0,False,False,../data/crops/crop11366.png,1952,1912,250,165,g
0,False,False,../data/crops/crop11367.png,1470,1430,256,171,g
0,False,False,../data/crops/crop11368.png,1736,1696,307,222,g
0,False,False,../data/crops/crop11369.png,1546,1506,313,228,g
0,False,False,../data/crops/crop11370.png,1922,1882,328,243,g
0,False,False,../data/crops/crop11371.png,1647,1607,357,272,g
0,False,False,../data/crops/crop11343.png,264,224,513,428,g
0,False,False,../data/crops/crop11372.png,1776,1736,378,293,g
0,False,False,../data/crops/crop11342.png,126,86,497,412,g
0,False,False,../data/crops/crop11340.png,1694,1654,217,132,g
0,False,False,../data/crops/crop11308.png,1838,1798,192,107,g
0,False,False,../data/crops/crop11309.png,1209,1169,300,215,g
0,False,False,../data/crops/crop11310.png,931,891,409,324,g
0,False,False,../data/crops/crop11312.png,1967,1927,443,358,g
0,False,False,../data/crops/crop11313.png,477,437,447,362,g
0,False,False,../data/crops/crop11315.png,144,104,562,477,g
0,False,False,../data/crops/crop11316.png,1927,1887,611,526,g
0,False,False,../data/crops/crop11317.png,333,293,534,449,r
0,False,False,../data/crops/crop11318.png,1648,1608,567,482,r
0,False,False,../data/crops/crop11319.png,973,933,586,501,r
0,False,False,../data/crops/crop11320.png,164,124,280,195,g
0,False,False,../data/crops/crop11321.png,157,117,455,370,g
0,False,False,../data/crops/crop11322.png,906,866,466,381,r
0,False,False,../data/crops/crop11323.png,816,776,491,406,r
0,False,False,../data/crops/crop11325.png,138,98,159,74,g
0,False,False,../data/crops/crop11326.png,1248,1208,170,85,g
0,False,False,../data/crops/crop11327.png,56,16,414,329,g
0,False,False,../data/crops/crop11328.png,832,792,436,351,g
0,False,False,../data/crops/crop11329.png,1180,1140,552,467,g
0,False,False,../data/crops/crop11330.png,300,260,334,249,g
0,False,False,../data/crops/crop11331.png,1276,1236,453,368,g
0,False,False,../data/crops/crop11332.png,1634,1594,514,429,r
0,False,False,../data/crops/crop11333.png,1411,1371,596,511,r
0,False,False,../data/crops/crop11334.png,1192,1152,347,262,g
0,False,False,../data/crops/crop11335.png,699,659,410,325,g
0,False,False,../data/crops/crop11336.png,621,581,411,326,g
0,False,False,../data/crops/crop11338.png,1707,1667,435,350,r
0,False,False,../data/crops/crop11341.png,1224,1184,407,322,g
0,False,False,../data/crops/crop11307.png,1111,1071,490,405,r
0,True,False,../data/crops/crop11373.png,1456,1416,432,347,g
0,True,False,../data/crops/crop11375.png,1451,1411,483,398,g
0,False,False,../data/crops/crop11407.png,229,189,345,260,g
0,False,False,../data/crops/crop11408.png,1244,1204,373,288,g
